antecedents,consequents,support,lift,confidence
['Onigiri'],['Purified water'],0.00639470782800441,0.8659937049767559,0.08192090395480227
['Purified water'],['Onigiri'],0.00639470782800441,0.8659937049767559,0.0675990675990676
['Onigiri'],['Sandwich'],0.008048511576626241,2.190125563979413,0.10310734463276838
['Sandwich'],['Onigiri'],0.008048511576626241,2.1901255639794126,0.17096018735363
['Onigiri'],['Sugar Tea'],0.008489525909592061,0.9824965674027055,0.10875706214689265
['Sugar Tea'],['Onigiri'],0.008489525909592061,0.9824965674027055,0.07669322709163345
['Other Cuisine Sub'],['Others Steamed  bun'],0.009592061742006615,2.188415202342918,0.0926517571884984
['Others Steamed  bun'],['Other Cuisine Sub'],0.009592061742006615,2.188415202342918,0.2265625
['Other Cuisine Sub'],['Savoury  Buns'],0.01256890848952591,1.540070153488684,0.12140575079872205
['Savoury  Buns'],['Other Cuisine Sub'],0.01256890848952591,1.540070153488684,0.15944055944055946
['Other Cuisine Sub'],['Sugar Tea'],0.006284454244762955,0.5483815536575742,0.06070287539936103
['Sugar Tea'],['Other Cuisine Sub'],0.006284454244762955,0.5483815536575742,0.05677290836653386
['Stick'],['Other Ice Cream'],0.005071664829106946,10.722142269736842,0.1796875
['Other Ice Cream'],['Stick'],0.005071664829106946,10.72214226973684,0.3026315789473684
['Others Steamed  bun'],['Savoury  Buns'],0.008048511576626241,2.4115311771561774,0.19010416666666669
['Savoury  Buns'],['Others Steamed  bun'],0.008048511576626241,2.4115311771561774,0.10209790209790211
['Packaged bakery'],['Savoury  Buns'],0.005071664829106946,0.9873510584170485,0.07783417935702201
['Savoury  Buns'],['Packaged bakery'],0.005071664829106946,0.9873510584170485,0.06433566433566434
['Packaged bakery'],['Sugar Tea'],0.005402425578831312,0.7490006134514396,0.0829103214890017
['Sugar Tea'],['Packaged bakery'],0.005402425578831312,0.7490006134514396,0.04880478087649402
['Packaged bakery'],['UHT Milk'],0.005843439911797133,2.085600242960649,0.08967851099830795
['UHT Milk'],['Packaged bakery'],0.005843439911797133,2.0856002429606493,0.1358974358974359
['Potato Snacks'],['Purified water'],0.006615214994487321,1.4001451087543804,0.13245033112582782
['Purified water'],['Potato Snacks'],0.006615214994487321,1.4001451087543804,0.06993006993006994
['Salty Snacks'],['Potato Snacks'],0.008599779492833517,3.827749642903519,0.1911764705882353
['Potato Snacks'],['Salty Snacks'],0.008599779492833517,3.827749642903519,0.17218543046357615
['Sugar CSD'],['Potato Snacks'],0.005622932745314222,1.9266525053105084,0.09622641509433962
['Potato Snacks'],['Sugar CSD'],0.005622932745314222,1.9266525053105086,0.11258278145695363
['Potato Snacks'],['Sugar Tea'],0.0065049614112458656,1.1765960440797516,0.13024282560706402
['Sugar Tea'],['Potato Snacks'],0.0065049614112458656,1.1765960440797516,0.05876494023904383
['Sugar CSD'],['Purified water'],0.005292171995589856,0.9573822404011083,0.09056603773584905
['Purified water'],['Sugar CSD'],0.005292171995589856,0.9573822404011082,0.05594405594405594
['Purified water'],['Sugar Tea'],0.009040793825799339,0.8633763315038215,0.09557109557109557
['Sugar Tea'],['Purified water'],0.009040793825799339,0.8633763315038215,0.08167330677290836
['Savoury  Buns'],['Sugar Tea'],0.005953693495038589,0.6822778814810687,0.07552447552447553
['Sugar Tea'],['Savoury  Buns'],0.005953693495038589,0.6822778814810687,0.053784860557768925
['Sugar CSD'],['Sugar Tea'],0.009371554575523704,1.448827332180711,0.16037735849056603
['Sugar Tea'],['Sugar CSD'],0.009371554575523704,1.448827332180711,0.0846613545816733
['WIC/RIC Juice'],['Sugar Tea'],0.0065049614112458656,2.1319920318725103,0.23600000000000002
['Sugar Tea'],['WIC/RIC Juice'],0.0065049614112458656,2.1319920318725103,0.05876494023904383
